Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
884979008,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,Code,Medium,Open,Low,security,False,,,,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/frontend/components/ui/custom/tiptap/extensions/search-and-replace.tsx#L56,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884979008,2026-07-11 19:44:40.732034,2026-07-11 19:44:40.699208,refs/heads/main,,,,"RegExp() called with a `searchString` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS."
884979007,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,Code,Medium,Open,Low,security,False,,,Tests,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/frontend/vitest.setup.ts#L10,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884979007,2026-07-11 19:44:40.732005,2026-07-11 19:44:40.699199,refs/heads/main,,,,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object."
884979006,javascript.express.open-redirect-deepsemgrep.open-redirect-deepsemgrep,Code,Medium,Open,High,security,True,,,User Authentication,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/frontend/middleware.ts#L64,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884979006,2026-07-11 19:44:40.731977,2026-07-11 19:44:40.699190,refs/heads/main,,,,The application builds a URL using user-controlled input which can lead to an open redirect vulnerability. An attacker can manipulate the URL and redirect users to an arbitrary domain. Open redirect vulnerabilities can lead to issues such as Cross-site scripting (XSS) or redirecting to a malicious domain for activities such as phishing to capture users' credentials. To prevent this vulnerability perform strict input validation of the domain against an allowlist of approved domains. Notify a user in your application that they are leaving the website. Display a domain where they are redirected to the user. A user can then either accept or deny the redirect to an untrusted site.
884979005,javascript.express.open-redirect-deepsemgrep.open-redirect-deepsemgrep,Code,Medium,Open,High,security,True,,,User Authentication,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/frontend/middleware.ts#L174,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884979005,2026-07-11 19:44:40.731949,2026-07-11 19:44:40.699181,refs/heads/main,,,,The application builds a URL using user-controlled input which can lead to an open redirect vulnerability. An attacker can manipulate the URL and redirect users to an arbitrary domain. Open redirect vulnerabilities can lead to issues such as Cross-site scripting (XSS) or redirecting to a malicious domain for activities such as phishing to capture users' credentials. To prevent this vulnerability perform strict input validation of the domain against an allowlist of approved domains. Notify a user in your application that they are leaving the website. Display a domain where they are redirected to the user. A user can then either accept or deny the redirect to an untrusted site.
884979004,javascript.express.open-redirect-deepsemgrep.open-redirect-deepsemgrep,Code,Medium,Open,High,security,True,,,User Authentication,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/frontend/middleware.ts#L184,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884979004,2026-07-11 19:44:40.731921,2026-07-11 19:44:40.699173,refs/heads/main,,,,The application builds a URL using user-controlled input which can lead to an open redirect vulnerability. An attacker can manipulate the URL and redirect users to an arbitrary domain. Open redirect vulnerabilities can lead to issues such as Cross-site scripting (XSS) or redirecting to a malicious domain for activities such as phishing to capture users' credentials. To prevent this vulnerability perform strict input validation of the domain against an allowlist of approved domains. Notify a user in your application that they are leaving the website. Display a domain where they are redirected to the user. A user can then either accept or deny the redirect to an untrusted site.
884979003,javascript.express.open-redirect-deepsemgrep.open-redirect-deepsemgrep,Code,Medium,Open,High,security,True,,,User Authentication,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/frontend/middleware.ts#L189,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884979003,2026-07-11 19:44:40.731893,2026-07-11 19:44:40.699164,refs/heads/main,,,,The application builds a URL using user-controlled input which can lead to an open redirect vulnerability. An attacker can manipulate the URL and redirect users to an arbitrary domain. Open redirect vulnerabilities can lead to issues such as Cross-site scripting (XSS) or redirecting to a malicious domain for activities such as phishing to capture users' credentials. To prevent this vulnerability perform strict input validation of the domain against an allowlist of approved domains. Notify a user in your application that they are leaving the website. Display a domain where they are redirected to the user. A user can then either accept or deny the redirect to an untrusted site.
884979002,javascript.express.open-redirect-deepsemgrep.open-redirect-deepsemgrep,Code,Medium,Open,High,security,True,,,User Authentication,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/frontend/middleware.ts#L193,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884979002,2026-07-11 19:44:40.731864,2026-07-11 19:44:40.699155,refs/heads/main,,,,The application builds a URL using user-controlled input which can lead to an open redirect vulnerability. An attacker can manipulate the URL and redirect users to an arbitrary domain. Open redirect vulnerabilities can lead to issues such as Cross-site scripting (XSS) or redirecting to a malicious domain for activities such as phishing to capture users' credentials. To prevent this vulnerability perform strict input validation of the domain against an allowlist of approved domains. Notify a user in your application that they are leaving the website. Display a domain where they are redirected to the user. A user can then either accept or deny the redirect to an untrusted site.
884979001,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,Code,Medium,Open,High,security,False,,,Build Process,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/.github/workflows/ci.yml#L24,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884979001,2026-07-11 19:44:40.731836,2026-07-11 19:44:40.699147,refs/heads/main,,,,"GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks — as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
884979000,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,Code,Medium,Open,High,security,False,,,Build Process,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/.github/workflows/ci.yml#L27,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884979000,2026-07-11 19:44:40.731809,2026-07-11 19:44:40.699138,refs/heads/main,,,,"GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks — as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
884978999,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,Code,Medium,Open,High,security,False,,,Build Process,chelebyy/arackiralama,https://github.com/chelebyy/arackiralama,https://github.com/chelebyy/arackiralama/blob/a465042204bbd2420198cfb71fe820774b224110/.github/workflows/ci.yml#L56,https://semgrep.dev/orgs/muhammett_celebi_personal_org/findings/884978999,2026-07-11 19:44:40.731781,2026-07-11 19:44:40.699130,refs/heads/main,,,,"GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks — as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
